label,embedding
1,2.6093857:1.3276842:0.0:3.0256023:0.0:0.0:0.0:6.502216:0.0:0.0:0.0:0.0:0.0:0.0:4.9711413:0.0:0.0:0.0:0.2607306:0.0:7.0437527:5.0328455:0.0:0.8502439:0.0:2.145123:0.0:0.0:5.5822687:4.4928308:4.9799676:4.422281:0.0:0.0:0.0:4.2143455:0.0:0.0:0.0:0.0:0.0:0.0:2.79798:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:7.579302:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:1.3262422:1.5443794:8.330548:0.0:4.2912426:0.0:0.0:0.6692358:0.0:0.0:4.1175013:2.083235:1.2433673:2.3647344:0.0:0.0:0.0:4.7850633:5.6616044:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:4.4745855:0.0:0.0:0.08324401:0.0:2.5895886:0.0:2.3974972:0.0:0.0:0.0:0.4738969:0.0:0.0:0.0:0.0:0.0:0.0:2.7716966:0.0:0.0:0.0:0.0:0.0:3.0782232:6.2245917:0.0:3.007009:0.74875027:0.0:0.0:0.0:0.36091018:3.3423333:5.6258006:4.82469:0.0:0.0:0.0:2.8928847:0.0:0.0:0.0:0.0:0.0:0.0:5.5769796:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.021648787:0.0:0.17805462:5.2738466:0.0:0.0:0.46833938:0.0:0.0:0.0:0.0:0.0:0.0:0.0:4.029289:2.1890135:3.6127403:0.0:4.528928:0.0:0.0:2.3872182:0.0:0.0:1.3139147:1.8141485:4.0478883:3.8200023:0.0:0.0:0.0:1.2776808:6.3111506:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:4.8776755:0.0:0.0:1.8910244
1,5.598348:0.0:0.0:3.7782855:0.0:2.6744177:0.0:9.085807:0.0:0.0:0.0:0.0:0.0:0.0:6.9744196:0.0:0.0:0.0:3.7270699:0.0:7.396374:4.4864054:0.0:2.1222596:0.0:0.0:0.0:0.0:8.135646:8.881683:9.767845:4.206734:0.0:0.0:0.0:7.426458:0.0:0.0:0.0:0.0:0.0:0.0:1.727185:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:5.9259706:0.0:0.0:1.8827742:0.0:0.0:0.0:0.0:0.0:0.0:1.1489965:3.322418:3.2970262:7.5615697:0.0:8.091368:0.0:0.0:0.0:0.0:0.0:5.8141823:4.425236:3.9829433:4.2615857:0.0:0.0:0.0:7.585286:11.683281:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:5.5789223:0.0:0.0:0.0:1.4575106:0.0:0.0:0.82948744:0.0:1.5449598:0.0:6.3802:0.0:0.0:0.0:0.0:0.0:0.0:1.6078501:0.0:0.0:0.0:1.6206584:0.54272056:1.6661654:2.197546:0.0:0.5738225:0.0:0.0:0.0:0.0:4.001464:4.3987417:5.925919:1.5714123:0.0:0.0:0.0:2.368929:0.0:0.0:0.0:0.0:0.0:0.0:1.5096976:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:3.870375:0.0:0.0:1.1889906:0.0:0.0:0.0:0.14708787:0.0:0.0:0.0:4.682948:2.7867484:2.725228:0.5382278:1.868396:0.0:0.0:0.702647:0.0:0.0:2.538522:0.54597056:1.3231566:3.315343:0.0:0.0:0.0:2.0179522:5.4843645:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:3.1133838:0.0:0.0:0.68395543
3,2.68693:0.0:0.0:5.685719:0.0:0.5003788:0.0:8.712219:0.0:0.0:0.0:0.0:0.0:0.0:8.467113:0.0:0.0:0.0:1.6313865:0.0:7.7217727:4.630863:0.0:3.6585324:0.0:0.0:0.0:0.0:5.9641075:4.213145:3.8995838:0.03681937:0.0:0.0:0.0:4.150319:0.0:0.0:0.0:0.0:0.0:1.9040914:2.7561095:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:1.2857533:0.0:0.0:1.9577355:0.0:0.0:0.0:0.779698:0.0:0.0:2.437058:0.0:3.427095:4.899356:0.0:9.857863:0.0:0.0:0.0:0.0:0.0:3.8067796:4.8317575:1.5175371:0.0:0.0:0.0:0.0:6.0779495:6.043156:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:5.0707974:0.0:0.0:0.9189682:0.0:3.4894958:0.0:0.0:0.0:0.0:0.83116436:3.4376705:0.0:2.4144764:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:2.0895667:1.6434581:5.130149:0.0:0.0:9.970243:1.3051243:0.0:0.0:0.0:0.0:7.7099385:11.7775135:3.3967106:0.0:1.1815715:0.0:0.0:3.6474657:0.0:0.0:0.0:0.0:0.0:9.39813:1.3401471:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:1.6878896:0.0:0.0:0.0:0.0:0.0:4.8545303:0.0:0.0:0.0:0.0:15.310212:6.3681226:2.883447:0.79114723:0.5966452:0.0:8.43657:0.0:0.0:0.0:0.0:2.897063:8.547586:12.323537:0.0:0.0:0.0:0.0:9.277135:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.73000866:4.2306485:0.0:2.863343
0,3.4830012:4.821677:0.0:2.786992:0.0:0.0:2.1731298:7.950025:0.0:0.0:0.0:0.0:0.0:0.0:2.6232245:0.0:0.0:0.0:0.0:0.0:9.700732:5.9881716:0.0:3.6824114:0.0:4.131991:0.0:0.0:8.729924:9.626803:11.147399:6.7836905:0.0:0.0:0.0:8.410824:0.34549904:0.0:0.0:0.0:0.0:0.0:3.3992262:0.0:0.0:1.4519459:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:1.6761281:0.0:0.0:6.884731:0.0:0.0:0.0:0.0:0.0:0.82056737:0.0:0.0:0.0:0.0:5.099033:0.0:8.2656765:0.44210863:4.6160502:0.0:0.0:2.7226562:0.0:0.0:4.188647:4.0456257:0.0:2.8275678:0.0:0.0:0.0:2.7942305:13.723249:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:5.629512:0.0:0.0:1.7938527:0.7309197:0.0:0.0:0.0:0.0:1.378011:0.0:5.787522:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.46243677:0.0:3.0379605:0.96504086:0.0:4.318806:0.22128552:1.9121608:0.0:0.0:1.440342:3.5455475:3.7539923:0.69264156:0.0:0.0:0.0:2.1627696:0.0:0.0:0.0:0.0:0.0:0.0:0.4410164:0.0:0.40198565:0.0:0.0:0.0:1.0050098:0.0:0.0:0.0:0.0:0.0:0.0:0.14552537:0.0:1.809031:0.0:0.0:0.0:0.0:0.0:3.8763547:0.0:0.6740254:0.0:0.0:3.4058237:7.0138826:4.6479177:0.121468864:0.45287898:0.0:0.0:0.0:3.0020535:0.0:2.2671595:3.9862466:2.284227:2.7782109:0.0:0.0:0.0:0.0:3.310112:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:5.3972754:1.2514629:0.0:1.2006178
0,9.109846:0.0:0.0:11.043611:0.0:6.7799077:0.0:17.302464:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:3.0580568:6.2105665:7.6043077:0.0:11.65671:0.0:5.8079405:0.0:0.0:4.8140917:14.900492:7.599244:0.0:0.0:0.0:0.0:5.27715:0.0:0.24105272:0.0:0.0:0.0:0.0:0.0:0.8106157:0.0:0.0:0.0:0.0:7.918596:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:2.2563148:0.12370468:0.0:0.0:0.0:0.0:1.7040908:3.0931277:0.0:0.0:0.17921989:5.69407:5.40189:13.408052:9.238697:15.926079:0.0:1.8013792:0.0:0.0:0.0:13.51564:16.21326:5.029927:9.396009:0.0:0.0:3.2206783:0.0:12.663083:0.0:0.0:3.4460015:0.0:0.0:0.0:0.0:0.0:0.0:8.347326:0.0:0.0:9.606308:3.9595387:1.3781466:0.0:0.0:0.0:1.9018024:0.0:4.3180394:0.0:0.0:0.35120773:0.0:0.0:0.0:4.6483383:0.0:0.0:0.0:0.0:0.0:7.2201486:7.018809:0.6699769:4.7518945:0.0:4.5224533:0.0:0.0:6.181371:6.303239:12.394372:0.59219414:0.0:0.0:0.0:6.722893:0.45121685:0.0:0.0:0.0:0.0:0.4239298:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:3.327669:1.2365103:0.0:5.4719987:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.437829:0.95055497:6.9771085:0.0:4.6616874:0.0:0.0:1.3394626:0.0:0.0:2.3345885:5.3833065:0.0:0.0:0.0:0.0:0.0:2.8574817:7.1203003:0.0:0.0:0.19691019:0.0:0.0:0.0:0.0:0.0:0.0:7.6023793:0.0:0.0:0.0
2,3.8717065:0.0:0.0:8.764161:0.0:0.0:0.0:9.4544935:0.0:2.2380106:0.0:0.0:0.0:0.0:2.2732341:0.0:0.0:0.0:0.0:3.5176077:6.283142:3.9703817:0.0:5.2270703:0.0:0.92464626:0.0:0.0:2.3977025:10.195352:6.193659:3.3462849:0.0:0.0:0.0:0.8616615:0.0:5.200065:0.0:0.0:0.0:0.0:4.3551645:2.7097387:0.0:2.8316035:0.0:0.0:1.9121788:0.0:0.0:0.0:0.7573022:0.0:0.0:0.0:0.0:5.3496084:2.9968326:0.0:0.0:0.0:0.0:3.5824795:0.4814213:0.0:0.0:2.0610416:7.175181:0.0:7.167748:7.848471:7.829118:0.0:6.4050837:0.52672875:0.0:0.0:5.5917106:4.2578626:4.737753:10.913554:0.0:0.0:0.0:0.0:10.096235:0.0:0.0:2.6212246:0.0:0.0:0.0:0.0:0.0:0.0:1.7352549:0.0:0.0:8.826152:0.0:0.0:0.0:0.0:0.0:0.0:0.0:4.6067915:0.0:1.6133311:4.921964:0.0:0.0:0.0:0.0:0.0:0.0:0.0:3.1813245:0.0:6.9574966:0.0:0.0:7.182886:0.52768534:0.0:0.0:0.0:1.905857:5.2357535:10.366208:2.6048412:0.0:0.0:0.0:7.004174:3.3349266:0.0:0.0:0.0:0.0:0.0:9.815657:0.0:4.796925:0.0:0.0:0.0:0.11255011:0.0:0.0:0.0:0.0:0.0:0.0:0.0:1.424228:0.0:0.0:0.0:0.0:0.0:0.0:10.2003565:0.0:0.0:0.0:0.0:9.280192:13.964777:8.62704:0.0:0.0:0.0:3.0109103:0.0:4.3522515:0.0:0.066302985:9.232349:5.640424:12.01113:0.0:0.0:0.0:0.0:8.47816:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:5.67561:4.3823147:0.0:0.64325696
3,2.8180375:2.1354957:0.0:4.1945653:0.0:0.0:0.0:7.4816027:0.0:0.0:0.0:0.0:0.0:0.0:2.8945365:0.0:0.0:0.0:0.0:0.0:7.2842274:4.6594157:0.0:0.4556587:0.0:2.750429:0.0:0.0:6.3687086:8.754768:8.145861:7.222932:0.0:0.0:0.0:6.6441193:0.0:0.0:0.0:0.0:0.0:0.0:5.1080303:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.31051856:0.0:0.0:0.0:0.0:0.0:0.0:9.956319:0.0:0.0:0.0:0.0:0.0:3.0963857:0.0:0.0:0.0:0.0:5.504574:0.0:10.122997:1.224659:4.2482004:0.0:0.0:1.4553607:0.0:0.0:6.1829195:1.4778514:2.561114:5.775965:0.0:0.0:0.0:3.4396951:9.915425:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:4.6646395:0.0:0.0:1.3064549:2.4984412:2.613307:0.0:3.5874984:0.0:0.0:3.1473043:5.773989:0.0:0.0:0.0:0.0:0.0:0.0:0.6349924:0.0:0.0:0.0:0.0:0.71728575:7.806486:2.1225998:0.0:5.961582:0.0:1.985129:0.0:0.0:7.4034867:9.605895:8.959341:7.290108:0.0:0.0:0.0:5.6360707:0.0:2.2945516:0.0:0.0:0.0:0.0:6.567536:0.0:0.0:1.5687907:0.0:0.0:0.0:0.0:0.86475205:0.0:0.0:0.0:1.4286821:0.0:1.433059:5.420432:1.0910802:0.0:0.0:0.0:0.0:1.1754853:0.0:0.0:0.0:0.0:8.018461:0.0:5.3148875:2.4680102:6.5345287:0.0:1.2614563:0.0:0.0:0.0:3.7877462:3.3654985:4.207361:6.886944:0.0:0.0:0.0:0.0:12.373386:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:2.3590415:1.1453706:0.0:5.0802455
1,6.1546392:0.0:0.0:0.0:0.0:4.6910996:0.0:17.313509:0.0:0.0:0.31528392:0.0:0.0:0.0:11.3073:0.0:0.0:0.0:2.8116543:0.0:9.843923:3.477627:0.0:5.5487747:0.0:0.32911667:0.0:0.0:9.524571:11.118384:13.505531:0.0:0.0:0.0:0.0:10.394837:0.0:0.0:0.0:0.0:0.0:0.0:0.8939198:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:3.6820755:0.0:0.0:4.0009136:0.0:0.0:0.0:0.0:0.0:0.0:0.0:3.080767:8.239255:11.08908:0.0:11.652756:0.0:0.0:0.0:0.0:0.0:4.796089:6.3461123:5.351354:4.330881:0.0:0.0:0.0:5.6582317:12.640207:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:6.0099554:0.0:0.0:0.0:3.667172:0.15424846:0.0:1.4830176:0.0:4.577955:0.0:17.35359:0.0:0.0:0.0:0.0:0.0:0.0:2.447871:0.0:0.0:0.0:0.89159983:4.373657:7.5348387:0.0:0.0:3.9776604:0.0:1.4780524:0.0:0.0:10.78922:13.371191:10.27542:3.8550196:0.0:2.6172602:0.0:8.219616:1.0046204:0.0:0.0:0.0:0.0:0.0:6.720142:0.0:0.0:0.0:0.0:0.0:0.0:0.0:6.196847:0.0:0.0:0.0:0.0:0.0:0.0:2.5969484:0.0:0.0:0.0:0.0:0.0:6.3406463:2.774397:0.0:0.0:0.0:9.072781:3.4396636:7.0474133:2.296691:7.7166176:0.0:3.316475:0.0:0.96592045:0.0:4.057985:4.7474966:6.643902:8.076302:0.0:0.0:0.0:2.5005548:15.995056:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:5.2010756:0.0:0.0:1.0524496
2,6.470426:0.0:0.0:19.971678:0.0:0.0:0.0:5.772897:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:8.510765:3.7031856:7.6612015:0.0:10.298234:0.052411556:0.8247366:0.0:0.0:6.889721:22.633818:11.887527:12.121502:0.0:0.0:0.0:8.585651:0.0:1.4700114:0.0:0.0:0.0:0.0:10.775834:11.809581:0.0:0.0:0.0:0.68152606:7.269754:0.0:0.66092867:0.0:1.1149437:0.0:0.0:0.0:0.0:20.275047:1.9163148:0.0:0.0:0.0:0.0:0.84722173:6.9473705:0.0:0.0:4.3603697:14.958421:8.829287:13.529735:16.546154:16.05727:0.0:3.2716365:0.0:0.28135732:0.0:15.838988:9.018806:8.230088:19.92709:0.0:4.384865:0.0:0.0:16.45712:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:2.9129534:0.0:0.0:14.611749:0.0:0.0:0.0:2.0308127:0.0:0.0:0.0:5.979658:0.0:0.20047493:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.4016646:0.28433973:5.993999:0.89865667:0.0:9.907638:0.0:0.6744034:0.0:0.0:2.2020473:7.367096:8.174307:5.90643:0.0:0.0:0.0:0.08830592:0.0:0.0:0.0:0.6093713:0.0:0.0:7.53947:3.0831418:0.038682915:0.0:0.0:0.0:3.8223133:0.0:0.0:0.0:3.9353611:0.0:0.0:0.0:0.0:8.195:0.0:0.0:0.0:0.0:0.0:4.17644:1.5773973:0.0:0.0:0.0:11.228095:8.875706:6.164013:7.097501:4.357513:0.0:4.837826:0.0:0.0:0.0:3.4323475:2.6289065:4.589369:11.989376:0.0:0.0:0.0:0.0:4.758022:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:1.8437902:0.16858445:0.0:8.005498
3,4.918901:0.0:0.0:2.1923864:0.0:3.1805394:0.0:16.813221:0.0:0.0:0.0:0.0:0.0:0.0:6.4283447:0.0:0.0:0.0:0.9513093:0.0:3.6301422:2.0546424:0.0:5.665411:0.0:1.9513173:0.0:0.0:7.59341:1.6091739:0.5276935:0.0:0.0:0.0:0.0:1.9977129:0.0:0.0:0.0:1.6193395:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:1.6892527:0.0:0.36941773:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:4.7801304:0.0:0.0:1.9756043:4.6409197:0.0:0.0:0.0:0.49831274:6.1878734:4.3785934:2.3467376:8.196502:0.0:0.0:0.0241226:0.0:0.0:2.1204822:4.8160644:3.27003:3.504259:0.0:0.0:3.4620664:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:8.244475:0.0:0.0:7.2064466:0.0:0.44992238:0.0:0.0:0.0:0.0:1.2169782:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:1.3798937:0.0:0.0:4.245525:2.200196:0.0:3.8752477:1.5844955:0.0:0.0:0.0:0.0:0.34374556:7.2610083:0.0:0.0:0.0:0.0:5.0986423:0.0:0.0:0.0:0.0:0.0:3.1517746:2.2921674:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.08001852:1.5111858:0.0:0.0:0.0:0.0:0.0:0.0:0.0:1.3732069:0.0:0.0:0.0:0.0:5.1456614:4.3213553:0.0:0.0:0.0:0.0:0.0:1.9355361:0.0:0.0:0.0:5.23691:1.3964889:2.3211222:0.0:0.0:0.0:0.0:1.6909137:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.12717678:3.9836416:2.6279917:1.6757095
